activation,lemma,present_phones,past_phones
1.2387868165969849,pipe,P AY P,P AY P T
1.2251310348510742,ship,SH IH P,SH IH P T
1.2226303815841675,repeat,R IH P IY T,R IH P IY T IH D
1.2204759120941162,reply,R IH P L AY,R IH P L AY D
1.2165504693984985,shape,SH EY P,SH EY P T
1.2142236232757568,typeset,T AY P S EH T,T AY P S EH T
1.213547706604004,people,P IY P AH L,P IY P AH L D
1.2098015546798706,ripple,R IH P AH L,R IH P AH L D
1.2080652713775635,output,AW T P UH T,AW T P UH T
1.203864574432373,bypass,B AY P AE S,B AY P AE S T
1.2010785341262817,peep,P IY P,P IY P T
1.2008202075958252,map,M AE P,M AE P T
1.2001371383666992,zip,Z IH P,Z IH P T
1.200119972229004,chip,CH IH P,CH IH P T
1.1912490129470825,mop,M AA P,M AA P T
1.1907992362976074,zipper,Z IH P ER,Z IH P ER D
1.1905394792556763,lip,L IH P,L IH P T
1.1893458366394043,impose,IH M P OW Z,IH M P OW Z D
1.1878594160079956,rip,R IH P,R IH P T
1.1871042251586914,shop,SH AA P,SH AA P T
1.1867754459381104,whipsaw,W IH P S AO,W IH P S AO D
1.1867506504058838,poop,P UW P,P UW P T
1.1865649223327637,depose,D IH P OW Z,D IH P OW Z D
1.186421275138855,capture,K AE P CH ER,K AE P CH ER D
1.1851216554641724,mope,M OW P,M OW P T
1.1833268404006958,lapse,L AE P S,L AE P S T
1.182908058166504,beep,B IY P,B IY P T
1.1801958084106445,pop,P AA P,P AA P T
1.1791627407073975,hype,HH AY P,HH AY P T
1.1791110038757324,rape,R EY P,R EY P T
1.1765793561935425,leapfrog,L IY P F R AO G,L IY P F R AO G D
1.1753816604614258,zap,Z AE P,Z AE P T
1.1739885807037354,cape,K EY P,K EY P T
1.1733207702636719,tip,T IH P,T IH P T
1.1716187000274658,leap,L IY P,L EH P T
1.1677334308624268,reap,R IY P,R IY P T
1.1662626266479492,chop,CH AA P,CH AA P T
1.1647796630859375,lap,L AE P,L AE P T
1.164710521697998,wipe,W AY P,W AY P T
1.1642670631408691,keep,K IY P,K EH P T
1.1625826358795166,repost,R IY P OW S T,R IY P OW S T IH D
1.1614795923233032,rap,R AE P,R AE P T
1.1614795923233032,wrap,R AE P,R AE P T
1.1611517667770386,tape,T EY P,T EY P T
1.1606953144073486,imply,IH M P L AY,IH M P L AY D
1.1603957414627075,loop,L UW P,L UW P T
1.1591469049453735,cap,K AE P,K AE P T
1.1577297449111938,repair,R IH P EH R,R IH P EH R D
1.1575583219528198,input,IH N P UH T,IH N P UH T
1.1574921607971191,repute,R IY P Y UW T,R IH P Y UW T IH D
1.1574304103851318,tiptoe,T IH P T OW,T IH P T OW D
1.1565688848495483,coop,K UW P,K UW P T
1.1552743911743164,gyp,JH IH P,JH IH P T
1.1539556980133057,topple,T AA P AH L,T AA P AH L D
1.15324068069458,lop,L AA P,L AA P T
1.1515090465545654,taper,T EY P ER,T EY P ER D
1.1507220268249512,nip,N IH P,N IH P T
1.1501460075378418,impeach,IH M P IY CH,IH M P IY CH T
1.1488990783691406,whip,W IH P,W IH P T
1.1477272510528564,espouse,IH S P AW Z,IH S P AW Z D
1.147517204284668,rope,R OW P,R OW P T
1.146916389465332,cop,K AA P,K AA P T
1.146235704421997,copy,K AA P IY,K AA P IY D
1.146214246749878,capsize,K AE P S AY Z,K AE P S AY Z D
1.145720362663269,tap,T AE P,T AE P T
1.1449699401855469,cope,K OW P,K OW P T
1.1439895629882812,deplete,D IH P L IY T,D IH P L IY T IH D
1.1433868408203125,replay,R IY P L EY,R IY P L EY D
1.1432502269744873,repay,R IY P EY,R IY P EY D
1.1421650648117065,heap,HH IY P,HH IY P T
1.1413605213165283,impound,IH M P AW N D,IH M P AW N D IH D
1.1393368244171143,repeal,R IH P IY L,R IH P IY L D
1.1358730792999268,top,T AA P,T AA P T
1.1352182626724243,implode,IH M P L OW D,IH M P L OW D IH D
1.1349668502807617,repossess,R IY P AH Z EH S,R IY P AH Z EH S T
1.1328572034835815,baptize,B AE P T AY Z,B AE P T AY Z D
1.1299703121185303,repel,R IH P EH L,R AH P EH L D
1.1263644695281982,weep,W IY P,W EH P T
1.125836730003357,hop,HH AA P,HH AA P T
1.1238791942596436,nap,N AE P,N AE P T
1.122342824935913,hope,HH OW P,HH OW P T
1.1219948530197144,outpace,AW T P EY S,AW T P EY S T
1.1201741695404053,dip,D IH P,D IH P T
1.1193710565567017,impute,IH M P Y UW T,IH M P Y UW T IH D
1.1187655925750732,whoop,W UW P,W UW P T
1.117994785308838,repaint,R IY P EY N T,R IY P EY N T IH D
1.1134531497955322,sip,S IH P,S IH P T
1.1119399070739746,report,R IY P AO R T,R IY P AO R T IH D
1.1114671230316162,repulse,R IY P AH L S,R IY P AH L S T
1.1037225723266602,vaporize,V EY P ER AY Z,V EY P ER AY Z D
1.1036251783370972,empty,EH M P T IY,EH M P T IY D
1.099799394607544,aspire,AH S P AY R,AH S P AY R D
1.0973700284957886,implore,IH M P L AO R,IH M P L AO R D
1.0961790084838867,purport,P ER P AO R T,P ER P AO R T IH D
1.0948961973190308,seep,S IY P,S IY P T
1.0919651985168457,deploy,D IH P L OY,D IH P L OY D
1.0889723300933838,dupe,D UW P,D UW P T
1.0877832174301147,impede,IH M P IY D,IH M P IY D IH D
1.0868552923202515,sap,S AE P,S AE P T
1.0839089155197144,soup,S UW P,S UW P T
1.0833535194396973,reprice,R IY P R AY S,R IY P R AY S T
1.0831774473190308,deplore,D IH P L AO R,D IH P L AO R D
1.082242488861084,typify,T IH P AH F AY,T IH P AH F AY D
1.080011248588562,dope,D OW P,D OW P T
1.0799920558929443,rupture,R AH P CH ER,R AH P CH ER D
1.075302243232727,replace,R IY P L EY S,R IY P L EY S T
1.074705958366394,repackage,R IY P AE K IH JH,R IY P AE K IH JH D
1.0723495483398438,repress,R IY P R EH S,R IY P R EH S T
1.071871042251587,impel,IH M P EH L,IH M P EH L D
1.0668048858642578,couple,K AH P AH L,K AH P AH L D
1.0641825199127197,impinge,IH M P IH N JH,IH M P IH N JH D
1.0624752044677734,aspirate,AE S P ER EY T,AE S P ER EY T IH D
1.0599193572998047,employ,EH M P L OY,EH M P L OY D
1.0533089637756348,impale,IH M P EY L,IH M P EY L D
1.0483744144439697,deprive,D IH P R AY V,D IH P R AY V D
1.0463409423828125,impress,IH M P R EH S,IH M P R EH S T
1.0366601943969727,improve,IH M P R UW V,IH M P R UW V D
1.035698652267456,suppose,S AH P OW Z,S AH P OW Z D
1.0338051319122314,surpass,S ER P AE S,S ER P AE S T
1.0296902656555176,depress,D IH P R EH S,D IH P R EH S T
1.025867223739624,typecast,T AY P K AE S T,T AY P K AE S T
1.0078589916229248,caption,K AE P SH AH N,K AE P SH AH N D
1.0048136711120605,supply,S AH P L AY,S AH P L AY D
1.0015876293182373,repudiate,R IY P Y UW D IY EY T,R IY P Y UW D IY EY T IH D
0.9940460324287415,replenish,R IY P L EH N IH SH,R IY P L EH N IH SH T
0.9833431839942932,surprise,S ER P R AY Z,S ER P R AY Z D
0.9821668267250061,repurchase,R IY P ER CH AH S,R IY P ER CH AH S T
0.9748043417930603,hopscotch,HH AA P S K AA CH,HH AA P S K AA CH T
0.9722052216529846,implant,IH M P L AE N T,IH M P L AE N T IH D
0.9701514840126038,unplug,AH N P L AH G,AH N P L AH G D
0.9662535786628723,deprave,D IY P R EY V,D IY P R EY V D
0.9656322598457336,amplify,AE M P L AH F AY,AE M P L AH F AY D
0.9647144675254822,separate,S EH P ER EY T,S EH P ER EY T IH D
0.9438373446464539,perpetuate,P ER P EH CH AH W EY T,P ER P EH CH AH W EY T IH D
0.9387578368186951,perplex,P ER P L EH K S,P ER P L EH K S T
0.9290758967399597,repatriate,R IY P EY T R IY EY T,R IY P EY T R IY EY T IH D
0.9129385948181152,impoverish,IH M P AA V R IH SH,IH M P AA V R IH SH T
0.9092389941215515,impregnate,IH M P R EH G N EY T,IH M P R EH G N EY T AH D
0.9028265476226807,reprocess,R IY P R AO S EH S,R IY P R AO S EH S T
0.8919317722320557,suppress,S AH P R EH S,S AH P R EH S T
0.8894584774971008,outperform,AW T P ER F AO R M,AW T P ER F AO R M D
0.8872074484825134,supercharge,S UW P ER CH AA R JH,S UW P ER CH AA R JH D
0.8612273335456848,impersonate,IH M P ER S AH N EY T,IH M P ER S AH N EY T IH D
0.8591103553771973,depreciate,D IH P R IY SH IY EY T,D IH P R IY SH IY EY T IH D
0.8494148850440979,reproduce,R IY P R AH D UW S,R IY P R AH D UW S T
0.832671582698822,supersede,S UW P ER S IY D,S UW P ER S IY D IH D
0.8288705348968506,yuppify,Y AH P IH F AY,Y AH P IH F AY D
0.8227179646492004,reprimand,R EH P R AH M AE N D,R EH P R AH M AE N D IH D
0.820841908454895,deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
